Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
11,Lung,84000,USA,1,0,2000,39.60255318,42.23096144,6.037635475,7254
11,Lung,84000,USA,1,0,2001,39.13712691,42.21686203,5.969043521,7314
11,Lung,84000,USA,1,0,2002,37.01368508,40.36954901,5.69616114,7032
11,Lung,84000,USA,1,0,2003,36.74201325,41.0057571,5.662483422,7172
11,Lung,84000,USA,1,0,2004,34.66638809,39.27736481,5.360321108,6899
11,Lung,84000,USA,1,0,2005,33.64537521,38.88995169,5.243725418,6863
11,Lung,84000,USA,1,0,2006,32.89839874,38.61138893,5.086030945,6856
11,Lung,84000,USA,1,0,2007,31.7567419,38.266991,4.922865111,6831
11,Lung,84000,USA,1,0,2008,30.57367575,37.81028093,4.77151708,6807
11,Lung,84000,USA,1,0,2009,29.68927397,37.77732952,4.644880294,6860
11,Lung,84000,USA,1,0,2010,28.04318449,36.67513301,4.414573989,6703
11,Lung,84000,USA,1,0,2011,27.14505801,36.36759308,4.256524585,6698
11,Lung,84000,USA,1,0,2012,26.04423159,36.03759799,4.094588733,6693
11,Lung,84000,USA,1,0,2013,25.15724049,35.77442247,3.98013154,6695
11,Lung,84000,USA,1,0,2014,24.42805931,35.63584086,3.887573638,6717
11,Lung,84000,USA,1,0,2015,23.89366355,35.70936495,3.764621436,6780
11,Lung,84000,USA,1,0,2016,23.26604342,35.50814579,3.673626778,6787
11,Lung,84000,USA,2,0,2000,26.93745904,32.86455177,4.018196293,5653
11,Lung,84000,USA,2,0,2001,26.60470041,32.74661073,3.999350913,5678
11,Lung,84000,USA,2,0,2002,26.67505291,33.19972798,4.007161118,5791
11,Lung,84000,USA,2,0,2003,26.49019834,33.42044355,4.020077914,5861
11,Lung,84000,USA,2,0,2004,25.34732973,32.36691305,3.837443543,5706
11,Lung,84000,USA,2,0,2005,25.47414403,33.0151819,3.887825239,5849
11,Lung,84000,USA,2,0,2006,24.89638576,32.72224701,3.811630717,5835
11,Lung,84000,USA,2,0,2007,24.50983684,32.96307561,3.77688484,5914
11,Lung,84000,USA,2,0,2008,23.57382429,32.36928105,3.611585091,5857
11,Lung,84000,USA,2,0,2009,23.55437171,33.17388396,3.588358625,6056
11,Lung,84000,USA,2,0,2010,21.6840423,31.32439374,3.346605101,5760
11,Lung,84000,USA,2,0,2011,21.69759411,32.00674353,3.354261877,5934
11,Lung,84000,USA,2,0,2012,20.7921861,31.62835649,3.219489795,5913
11,Lung,84000,USA,2,0,2013,20.55177508,32.14335992,3.200868996,6053
11,Lung,84000,USA,2,0,2014,20.53706179,32.94346888,3.189280997,6246
11,Lung,84000,USA,2,0,2015,19.7561063,32.460745,3.080434647,6197
11,Lung,84000,USA,2,0,2016,19.32667194,32.2918101,2.978892651,6203
